"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"1","bocqueti","W+","FHV",2022-10-19,"R1",13,1,"bocquetiW+FHVR1"
"2","bocqueti","W+","FHV",2022-10-19,"R2",14,1,"bocquetiW+FHVR2"
"3","bocqueti","W+","FHV",2022-10-19,"R3",13,1,"bocquetiW+FHVR3"
"4","bocqueti","W+","FHV",2022-10-19,"R4",15,1,"bocquetiW+FHVR4"
"5","bocqueti","W+","FHV",2022-10-19,"R5",14,1,"bocquetiW+FHVR5"
"6","bocqueti","W+","Ringer",2022-10-19,"R1",14,1,"bocquetiW+RingerR1"
"7","bocqueti","W+","Ringer",2022-10-19,"R2",15,1,"bocquetiW+RingerR2"
"8","bocqueti","W+","Ringer",2022-10-19,"R3",13,1,"bocquetiW+RingerR3"
"9","bocqueti","W+","Ringer",2022-10-19,"R4",13,1,"bocquetiW+RingerR4"
"10","bocqueti","W+","Ringer",2022-10-19,"R5",15,1,"bocquetiW+RingerR5"
"11","bocqueti","W-","FHV",2022-10-19,"R1",9,1,"bocquetiW-FHVR1"
"12","bocqueti","W-","FHV",2022-10-19,"R2",12,1,"bocquetiW-FHVR2"
"13","bocqueti","W-","FHV",2022-10-19,"R3",14,1,"bocquetiW-FHVR3"
"14","bocqueti","W-","FHV",2022-10-19,"R4",13,1,"bocquetiW-FHVR4"
"15","bocqueti","W-","FHV",2022-10-19,"R5",12,1,"bocquetiW-FHVR5"
"16","bocqueti","W-","Ringer",2022-10-19,"R1",15,1,"bocquetiW-RingerR1"
"17","bocqueti","W-","Ringer",2022-10-19,"R2",15,1,"bocquetiW-RingerR2"
"18","bocqueti","W-","Ringer",2022-10-19,"R3",14,1,"bocquetiW-RingerR3"
"19","bocqueti","W-","Ringer",2022-10-19,"R4",11,1,"bocquetiW-RingerR4"
"20","bocqueti","W-","Ringer",2022-10-19,"R5",9,1,"bocquetiW-RingerR5"
"21","melanogaster","W+","FHV",2022-10-19,"R1",15,1,"melanogasterW+FHVR1"
"22","melanogaster","W+","FHV",2022-10-19,"R2",15,1,"melanogasterW+FHVR2"
"23","melanogaster","W+","FHV",2022-10-19,"R3",15,1,"melanogasterW+FHVR3"
"24","melanogaster","W+","FHV",2022-10-19,"R4",14,1,"melanogasterW+FHVR4"
"25","melanogaster","W+","FHV",2022-10-19,"R5",15,1,"melanogasterW+FHVR5"
"26","melanogaster","W+","Ringer",2022-10-19,"R1",15,1,"melanogasterW+RingerR1"
"27","melanogaster","W+","Ringer",2022-10-19,"R2",14,1,"melanogasterW+RingerR2"
"28","melanogaster","W+","Ringer",2022-10-19,"R3",15,1,"melanogasterW+RingerR3"
"29","melanogaster","W+","Ringer",2022-10-19,"R4",15,1,"melanogasterW+RingerR4"
